Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
0,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08157,0.00000,0.16313,0.00000,
1,0,0,0,0,[0],37.24280,37.29424,34.69650,31.25000,26.90329,25.07716,24.43416,25.90021,25.95165,26.95473,27.26337,27.62346,
2,19,1,14,4,"[[964.3627,205.1293,5,555.645,organelle_far],[959.4214,190.6803,5,264.9411,organelle_near],[936.1416,220.8018,5,256.8462,organelle_far],[937.2017,225.0198,5,398.4398,organelle_far],[942.7945,226.5878,5,282.6084,organelle_far],[951.8127,209.1572,5,404.478,nc],[943.2706,195.524,5,262.4319,nc],[955.0353,220.2859,5,355.0696,organelle_far],[950.5341,221.0824,5,317.9015,organelle_far],[951.577,221.4651,6,291.6668,organelle_far],[946.4429,181.8707,6,280.3456,organelle_far],[932.5777,215.2284,6,322.6544,organelle_far],[956.6735,185.1956,7,264.1354,nc],[952.5346,181.904,7,287.1588,organelle_far],[948.2512,224.9698,7,278.4519,organelle_far],[953.4892,216.2316,7,390.8499,organelle_far],[936.9405,209.0379,7,479.5957,organelle_far],[963.233,218.8747,7,258.203,organelle_far],[951.3673,192.8337,8,262.5068,nc],]",37.37230,36.44571,36.08933,33.59468,33.16702,32.02661,32.09789,31.86030,32.95320,32.24044,31.14754,29.93585,
3,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4,1,0,0,1,"[[1416.2876,389.661,6,217.0699,nc],]",28.99851,27.54111,27.87743,24.14051,24.14051,24.88789,22.73916,21.78625,20.06726,19.45067,18.64723,19.76831,
5,2,1,1,0,"[[999.6613,378.6915,1,157.2497,organelle_near],[946.6369,410.9536,1,144.9731,organelle_far],]",39.92166,41.03646,39.54504,36.20066,35.80898,36.20066,34.98042,30.98825,27.31244,26.13739,29.31606,32.10304,
6,2,0,0,2,"[[1413.0912,420.4357,5,288.874,nc],[1427.9958,421.857,8,296.083,nc],]",0.00000,0.00000,0.00000,0.32563,0.71638,0.45588,0.29306,0.09769,0.00000,0.00000,0.00000,0.03256,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,26,3,13,10,"[[1625.5273,440.8328,2,299.537,organelle_far],[1649.7063,477.8426,2,238.8034,nc],[1667.9355,451.8228,2,263.7137,nc],[1633.9163,464.4256,3,235.6532,nc],[1638.3415,447.6629,3,287.0525,organelle_far],[1674.7495,440.5847,4,443.1381,organelle_near],[1647.8474,450.5691,4,206.2757,organelle_far],[1657.7042,450.2439,4,242.9133,organelle_near],[1649.9527,462.5422,4,285.2889,organelle_far],[1677.5194,426.1138,4,219.6901,organelle_far],[1663.1148,458.2401,4,445.4866,organelle_far],[1663.209,443.3302,4,442.9844,nc],[1681.6257,433.2417,4,306.8736,organelle_far],[1649.252,432.442,4,311.2262,nc],[1672.988,422.3865,5,364.0056,organelle_far],[1655.4173,459.1658,5,402.0971,organelle_far],[1674.2017,463.7472,5,246.6476,organelle_far],[1637.5914,431.3543,6,263.7112,organelle_far],[1667.1635,429.2416,6,339.22,organelle_near],[1631.2142,431.9557,6,291.5356,organelle_far],[1648.8428,443.3587,6,214.5556,nc],[1641.9681,459.2049,7,225.2038,organelle_far],[1652.4588,424.2403,7,328.9853,nc],[1621.7865,456.4274,8,282.1417,nc],[1629.8767,457.8235,8,232.0354,nc],[1663.8226,429.328,9,305.1216,nc],]",23.87580,25.03212,25.31049,24.86081,25.09636,23.91863,21.02784,21.04925,18.00857,15.01071,12.65525,10.89936,
9,0,0,0,0,[0],0.00000,0.00000,0.10060,1.71026,2.51509,2.61569,3.31992,3.01811,3.82294,2.31388,0.80483,0.20121,
10,32,4,16,12,"[[1547.4041,468.7118,0,173.6395,nc],[1565.0893,425.2925,2,233.9353,nc],[1569.0674,462.0079,2,480.4758,organelle_near],[1545.4402,441.9997,2,225.7377,organelle_far],[1560.8247,433.2273,2,293.8707,organelle_far],[1563.2732,446.5775,2,190.5871,nc],[1589.4896,489.9079,2,265.1745,organelle_far],[1571.3232,428.5914,3,544.0822,organelle_far],[1573.4121,476.0421,3,415.6443,organelle_near],[1570.8831,452.4564,3,342.8158,organelle_far],[1574.6584,462.7559,3,439.2552,organelle_far],[1580.5665,445.1931,3,343.4487,nc],[1557.6659,457.6328,3,287.0511,organelle_near],[1575.516,445.0451,4,377.9561,organelle_far],[1561.4806,433.0225,4,578.2714,organelle_far],[1591.0528,429.0333,4,291.9901,nc],[1580.1469,427.7752,4,614.9028,nc],[1583.5419,456.1404,4,343.57,organelle_far],[1560.6463,443.4894,4,303.5408,nc],[1584.6608,481.6519,4,240.4918,nc],[1585.8742,475.1029,5,545.7296,organelle_far],[1574.6859,430.7009,5,405.4779,organelle_far],[1574.1697,416.0961,5,237.4766,organelle_far],[1588.6306,465.321,5,297.1915,nc],[1542.0176,435.9889,5,334.4438,organelle_far],[1610.0129,456.3843,6,597.4227,nc],[1591.7252,470.3405,6,300.6262,nc],[1603.8972,460.0433,6,264.2698,organelle_far],[1558.9053,480.8231,6,178.2436,organelle_near],[1562.7433,473.3778,7,354.1079,organelle_far],[1550.8312,480.1863,7,318.6166,organelle_far],[1600.2801,472.3736,7,372.0167,nc],]",25.57198,24.76241,24.93840,21.10172,20.73214,18.44421,17.44104,16.98346,14.18515,14.09715,11.89722,12.61880,
11,0,0,0,0,[0],0.00000,0.00000,0.11287,0.16930,1.01580,1.58014,1.69300,2.48307,3.16027,2.87810,1.29797,0.39503,
12,1,0,0,1,"[[1912.089,481.7101,2,256.1746,nc],]",9.91572,11.94844,18.24492,20.82300,22.80615,22.85573,23.05404,23.74814,21.46753,16.90630,14.72484,12.98959,
13,0,0,0,0,[0],0.93248,0.45016,0.12862,0.06431,0.06431,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06431,
14,0,0,0,0,[0],0.45819,0.50401,1.00802,0.77892,0.34364,0.54983,1.09966,1.16838,0.43528,0.04582,0.02291,0.34364,
